case,location,states,date,fatalities,injured,total_victims,location2,age_of_shooter,prior_signs_mental_health_issues,race,gender,latitude,longitude,type,year,classe_age,sexe,mental,ethnie
Las Vegas Strip massacre,Las Vegas ,Nevada,10/01/2017,58,546,604,Other,64,TBD,White,M,36.095739,-115.171544,Mass,2017,4,0.0,2,0
Orlando nightclub massacre,Orlando ,Florida,06/12/2016,49,53,102,Other,29,Unclear,Other,M,28.519718,-81.376777,Mass,2016,1,0.0,2,5
Virginia Tech massacre,Blacksburg ,Virginia,4/16/2007,32,23,55,School,23,Yes,Asian,Male,37.2295733,-80.4139393,Mass,2007,1,0.0,1,3
Sandy Hook Elementary massacre,Newtown,Connecticut,12/14/2012,27,2,29,School,20,Yes,white,Male,41.412322499999995,-73.31142358,Mass,2012,0,0.0,1,0
Texas First Baptist Church massacre,Sutherland Springs,Texas,11/05/2017,26,20,46,Religious,26,Yes,White,M,29.273282000000002,-98.056488,Mass,2017,1,0.0,1,0
Luby's massacre,Killeen,Texas,10/16/1991,24,20,44,Other,35,No,white,Male,31.117119399999996,-97.7277959,Mass,1991,2,0.0,0,0
El Paso Walmart mass shooting,El Paso,Texas,08/03/2019,22,26,48,Workplace,21,-,White,M,31.771068,-106.37565500000001,Mass,2019,1,0.0,2,0
San Ysidro McDonald's massacre,San Ysidro,California,7/18/1984,22,19,41,Other,41,Yes,white,Male,32.5520013,-117.04308130000001,Mass,1984,3,0.0,1,0
Marjory Stoneman Douglas High School shooting,Parkland,Florida,2/14/18,17,17,34,School,19,Yes,White,M,26.30483,-80.269511,Mass,2018,0,0.0,1,0
United States Postal Service shooting,Edmond,Oklahoma,8/20/1986,15,6,21,Workplace,44,Unclear,white,Male,35.667201500000004,-97.42937037,Mass,1986,3,0.0,2,0
San Bernardino mass shooting,San Bernardino,California,12/02/2015,14,21,35,Workplace ,28,Unclear,Other,Male & Female,34.075961,-117.27788999999999,Mass,2015,1,,2,5
Binghamton shootings,Binghamton,New York,04/03/2009,14,4,18,Other,41,Yes,Asian,Male,42.099802000000004,-75.917723,Mass,2009,3,0.0,1,3
Columbine High School massacre,Littleton,Colorado,4/20/1999,13,24,37,School,17,Yes,white,Male,39.604034000000006,-105.07410300000001,Mass,1999,0,0.0,1,0
Fort Hood massacre,Fort Hood,Texas,11/05/2009,13,31,44,Military,39,Unclear,Other,Male,31.135557000000002,-97.783664,Mass,2009,2,0.0,2,5
Aurora theater shooting,Aurora,Colorado,7/20/2012,12,70,82,Other,24,Yes,white,Male,39.706038,-104.820594,Spree,2012,1,0.0,1,0
Thousand Oaks nightclub shooting,Thousand Oaks,California,11/07/2018,12,22,34,Other,28,Yes,-,M,34.176946,-118.874793,Mass,2018,1,0.0,1,5
Washington Navy Yard shooting,Washington,D.C.,9/16/2013,12,8,20,Military,34,Yes,Black,Male,38.874981,-76.99453000000001,Mass,2013,2,0.0,1,1
Virginia Beach municipal building shooting,Virginia Beach,Virginia,5/31/19,12,4,16,Workplace,40,TBD,Black,M,36.75442,-76.060378,Mass,2019,2,0.0,2,1
Tree of Life synagogue shooting,Pittsburgh,Pennsylvania,10/27/18,11,6,17,Religious,46,-,White,M,40.443898,-79.921398,Mass,2018,3,0.0,2,0
Red Lake massacre,Red Lake,Minnesota,3/21/2005,10,5,15,School,16,Yes,Native American,Male,47.876346000000005,-95.0169401,Mass,2005,0,0.0,1,4
Santa Fe High School shooting,Santa Fe,Texas,5/18/18,10,13,23,School,17,-,White,M,29.392825,-95.141972,Mass,2018,0,0.0,2,0
GMAC massacre,Jacksonville,Florida,6/18/1990,10,4,14,Other,42,No,black,Male,30.3321838,-81.655651,Mass,1990,3,0.0,0,1
Westroads Mall shooting,Omaha,Nebraska,12/05/2007,9,4,13,Other,19,Yes,white,Male,41.265719,-96.067495,Spree,2007,0,0.0,1,0
Charleston Church Shooting,Charleston,South Carolina,6/17/2015,9,1,10,Religious,21,Unclear,White,Male,32.788387,-79.933143,Mass,2015,1,0.0,2,0
Dayton entertainment district shooting,Dayton,Ohio,08/04/2019,9,27,36,Other,24,-,White,M,39.757312,-84.184947,Mass,2019,1,0.0,2,0
Umpqua Community College shooting,Roseburg,Oregon,10/01/2015,9,9,18,School,26,Unclear,Other,Male,43.289538,-123.333193,Mass,2015,1,0.0,2,5
Hartford Beer Distributor shooting,Manchester,Connecticut,08/03/2010,9,2,11,Workplace,34,No,black,Male,41.798764,-72.570068,Mass,2010,2,0.0,0,1
Atlanta day trading spree killings,Atlanta,Georgia,7/29/1999,9,13,22,Workplace,44,Yes,white,Male,33.850116,-84.377839,Mass,1999,3,0.0,1,0
Standard Gravure shooting,Louisville,Kentucky,9/14/1989,9,12,21,Workplace,47,Yes,white,Male,38.254237599999996,-85.759407,Mass,1989,3,0.0,1,0
101 California Street shootings,San Francisco,California,07/01/1993,9,6,15,Other,55,No,white,Male,37.792968,-122.397973,Mass,1993,4,0.0,0,0
Seal Beach shooting,Seal Beach,California,10/12/2011,8,1,9,Other,42,Yes,white,Male,33.741176,-118.1046356,Mass,2011,3,0.0,1,0
Goleta postal shootings,Goleta,California,1/30/2006,8,0,8,Workplace,44,Yes,white,Female,34.425571000000005,-119.866069,Mass,2006,3,1.0,1,0
Carthage nursing home shooting,Carthage,North Carolina,3/29/2009,8,3,11,Other,45,Yes,white,Male,35.333434000000004,-79.414592,Mass,2009,3,0.0,1,0
Wedgwood Baptist Church shooting,Fort Worth,Texas,9/15/1999,8,7,15,Religious,47,Yes,white,Male,32.664511,-97.38424599999999,Mass,1999,3,0.0,1,0
Welding shop shooting,Miami,Florida,8/20/1982,8,3,11,Other,51,Yes,white,Male,25.796491,-80.226683,Mass,1982,4,0.0,1,0
Capitol Hill massacre,Seattle,Washington,3/25/2006,7,2,9,Other,28,No,white,Male,47.6229,-122.3165,Mass,2006,1,0.0,0,0
Odessa-Midland shooting spree,Odessa,Texas,8/31/19,7,25,32,Other,36,yes,White,M,31.925974,-102.2796,Spree,2019,2,0.0,1,0
Accent Signage Systems shooting,Minneapolis,Minnesota,9/27/2012,7,1,8,Workplace,36,Yes,white,Male,44.977425,-93.310408,Mass,2012,2,0.0,1,0
ESL shooting,Sunnyvale,California,2/16/1988,7,4,11,Workplace,39,Yes,white,Male,37.368830100000004,-122.03634960000001,Mass,1988,2,0.0,1,0
Sikh temple shooting,Oak Creek,Wisconsin,08/05/2012,7,3,10,Religious,40,Yes,white,Male,42.885850299999994,-87.86313620000001,Mass,2012,2,0.0,1,0
Xerox killings,Honolulu,Hawaii,11/02/1999,7,0,7,Workplace,40,Yes,Asian,Male,21.320063,-157.876462,Spree,1999,2,0.0,1,3
